year,yearSerial,cpue,stage,stageString,type,source
1952,1,18.1,1,Initial development,LEK,Early Capistran et al. (2020)
1953,2,NA,1,Initial development,LEK,Early Capistran et al. (2020)
1954,3,NA,1,Initial development,LEK,Early Capistran et al. (2020)
1955,4,NA,1,Initial development,LEK,Early Capistran et al. (2020)
1956,5,NA,1,Initial development,LEK,Early Capistran et al. (2020)
1957,6,NA,1,Initial development,LEK,Early Capistran et al. (2020)
1958,7,16,1,Initial development,LEK,Early Capistran et al. (2020)
1959,8,18.5,1,Initial development,LEK,Early Capistran et al. (2020)
1960,9,NA,2,Commercial fishing (harpoon),LEK,Early Capistran et al. (2020)
1961,10,NA,2,Commercial fishing (harpoon),LEK,Early Capistran et al. (2020)
1962,11,11.75,2,Commercial fishing (harpoon),LEK,Early Capistran et al. (2020)
1963,12,10.3666666667,2,Commercial fishing (harpoon),LEK,Early Capistran et al. (2020)
1964,13,NA,2,Commercial fishing (harpoon),LEK,Early Capistran et al. (2020)
1965,14,11.75,2,Commercial fishing (harpoon),LEK,Early Capistran et al. (2020)
1966,15,5.35,3,Commercial fishing (set-net),LEK,Early Capistran et al. (2020)
1967,16,NA,3,Commercial fishing (set-net),LEK,Early Capistran et al. (2020)
1968,17,2.2,3,Commercial fishing (set-net),LEK,Early Capistran et al. (2020)
1969,18,3.27,3,Commercial fishing (set-net),LEK,Early Capistran et al. (2020)
1970,19,1.45,3,Commercial fishing (set-net),LEK,Early Capistran et al. (2020)
1971,20,3.67,3,Commercial fishing (set-net),LEK,Early Capistran et al. (2020)
1972,21,1.7833333334,3,Commercial fishing (set-net),LEK,Early Capistran et al. (2020)
1973,22,NA,4,Collapse,LEK,Early Capistran et al. (2020)
1974,23,NA,4,Collapse,LEK,Early Capistran et al. (2020)
1975,24,NA,4,Collapse,LEK,Early Capistran et al. (2020)
1976,25,NA,4,Collapse,LEK,Early Capistran et al. (2020)
1977,26,NA,4,Collapse,LEK,Early Capistran et al. (2020)
1978,27,1.65,4,Collapse,LEK,Early Capistran et al. (2020)
1979,28,NA,4,Collapse,LEK,Early Capistran et al. (2020)
1980,29,1.03125,4,Collapse,LEK,Early Capistran et al. (2020)
1981,30,1.475,4,Collapse,LEK,Early Capistran et al. (2020)
1982,31,1.475,4,Collapse,LEK,Early Capistran et al. (2020)
1983,32,,5,Conservation,,
1984,33,,5,Conservation,,
1985,34,,5,Conservation,,
1986,35,,5,Conservation,,
1987,36,,5,Conservation,,
1988,37,,5,Conservation,,
1989,38,,5,Conservation,,
1990,39,,5,Conservation,,
1991,40,,5,Conservation,,
1992,41,,5,Conservation,,
1993,42,,5,Conservation,,
1994,43,,5,Conservation,,
1995,44,0.5,5,Conservation,Monitoring,Seminoff et al. (2003)
1996,45,0.66,5,Conservation,Monitoring,Seminoff et al. (2003)
1997,46,0.27,5,Conservation,Monitoring,Seminoff et al. (2003)
1998,47,0.65,5,Conservation,Monitoring,Seminoff et al. (2003)
1999,48,0.33,5,Conservation,Monitoring,Seminoff et al. (2003)
2000,49,0.34,5,Conservation,Monitoring,Seminoff et al. (2003)
2001,50,0.26,5,Conservation,Monitoring,Seminoff et al. (2003)
2002,51,0.23,5,Conservation,Monitoring,Seminoff et al. (2003)
2003,52,0.361111111111111,5,Conservation,Monitoring,Seminoff et al. (2005)
2004,53,0.486842105263158,5,Conservation,Monitoring,Seminoff et al. (2005)
2005,54,0.828125,5,Conservation,Monitoring,Comision Nacional de Areas Naturales Protegidas / Grupo Tortuguero de Bahia de los Angeles
2006,55,,5,Conservation,Monitoring,Comision Nacional de Areas Naturales Protegidas / Grupo Tortuguero de Bahia de los Angeles
2007,56,,5,Conservation,Monitoring,Comision Nacional de Areas Naturales Protegidas / Grupo Tortuguero de Bahia de los Angeles
2008,57,,5,Conservation,Monitoring,Comision Nacional de Areas Naturales Protegidas / Grupo Tortuguero de Bahia de los Angeles
2009,58,2.125,5,Conservation,Monitoring,Comision Nacional de Areas Naturales Protegidas / Grupo Tortuguero de Bahia de los Angeles
2010,59,2.25,5,Conservation,Monitoring,Comision Nacional de Areas Naturales Protegidas / Grupo Tortuguero de Bahia de los Angeles
2011,60,6.54545454545455,5,Conservation,Monitoring,Comision Nacional de Areas Naturales Protegidas / Grupo Tortuguero de Bahia de los Angeles
2012,61,8.30769230769231,5,Conservation,Monitoring,Comision Nacional de Areas Naturales Protegidas / Grupo Tortuguero de Bahia de los Angeles
2013,62,4.625,5,Conservation,Monitoring,Comision Nacional de Areas Naturales Protegidas / Grupo Tortuguero de Bahia de los Angeles
2014,63,7.22222222222222,5,Conservation,Monitoring,Comision Nacional de Areas Naturales Protegidas / Grupo Tortuguero de Bahia de los Angeles
2015,64,4,5,Conservation,Monitoring,Comision Nacional de Areas Naturales Protegidas / Grupo Tortuguero de Bahia de los Angeles
2016,65,,5,Conservation,Monitoring,Comision Nacional de Areas Naturales Protegidas / Grupo Tortuguero de Bahia de los Angeles
2017,66,,5,Conservation,Monitoring,Comision Nacional de Areas Naturales Protegidas / Grupo Tortuguero de Bahia de los Angeles
2018,67,11.1666666666667,5,Conservation,Monitoring,Comision Nacional de Areas Naturales Protegidas / Grupo Tortuguero de Bahia de los Angeles
