,year,scl,ccl,weight_kg,source,size_class
1,1995,69.4,92.6,41.7,Seminoff,adult
2,1995,65.2,76.5,38.1,Seminoff,juvenile
3,1995,78.4,81,63,Seminoff,juvenile
4,1996,81.5,86,74.4,Seminoff,adult
5,1996,85.9,91.4,93,Seminoff,adult
6,1996,76.4,80.8,57.2,Seminoff,juvenile
7,1996,76.9,80.3,67.1,Seminoff,juvenile
8,1996,85,90.6,88,Seminoff,adult
9,1996,77.6,83.2,69.9,Seminoff,adult
10,1996,71,77.2,51.3,Seminoff,juvenile
11,1996,73.7,78.3,55.8,Seminoff,juvenile
12,1996,72,76.9,45.8,Seminoff,juvenile
13,1996,91.2,96.9,99.8,Seminoff,adult
14,1996,85.1,90.2,86.6,Seminoff,adult
15,1996,66.6,70.6,39.5,Seminoff,juvenile
16,1996,48.2,51.1,14.1,Seminoff,juvenile
17,1996,96.6,102.6,121.6,Seminoff,adult
18,1996,83.7,89,84.8,Seminoff,adult
19,1996,80.6,85.8,70.3,Seminoff,adult
20,1996,87.3,91.4,93,Seminoff,adult
21,1996,86,90.3,95.3,Seminoff,adult
22,1996,91.9,97,115.7,Seminoff,adult
23,1996,82.5,86.6,76.2,Seminoff,adult
24,1996,77,82.3,63,Seminoff,adult
25,1996,84,87.6,77.1,Seminoff,adult
26,1996,77.7,94.4,66.7,Seminoff,adult
27,1996,75,79.6,51.7,Seminoff,juvenile
28,1996,65.9,70.9,47.6,Seminoff,juvenile
29,1996,74.3,79.7,59.4,Seminoff,juvenile
30,1996,74.9,79.2,59.4,Seminoff,juvenile
31,1996,61.9,66,37.6,Seminoff,juvenile
32,1996,80.8,84.5,61.2,Seminoff,adult
33,1996,77.3,82.4,61.2,Seminoff,adult
34,1996,80.6,85.8,76.7,Seminoff,adult
35,1996,100,104,130,Seminoff,adult
36,1997,74.7,79.8,36.2,Seminoff,juvenile
37,1997,73.9,77.9,35.3,Seminoff,juvenile
38,1997,73.6,78.5,35.6,Seminoff,juvenile
39,1997,89.2,93.4,42.4,Seminoff,adult
40,1997,88.7,96.1,43.6,Seminoff,adult
41,1997,74.5,80.8,36.7,Seminoff,juvenile
42,1997,69.2,73.1,33.2,Seminoff,juvenile
43,1997,68.4,72.3,32.8,Seminoff,juvenile
44,1997,81.6,87.1,39.5,Seminoff,adult
45,1997,83.7,89.8,40.7,Seminoff,adult
46,1997,65.8,68.6,31.1,Seminoff,juvenile
47,1997,72.5,86.8,39.4,Seminoff,adult
48,1997,77.3,82.6,37.5,Seminoff,adult
49,1997,70.1,74.5,33.8,Seminoff,juvenile
50,1997,69.4,76.6,34.7,Seminoff,juvenile
51,1997,77.7,84.9,38.5,Seminoff,adult
52,1997,77.6,81.2,36.8,Seminoff,juvenile
53,1997,74.7,78.8,35.7,Seminoff,juvenile
54,1997,73.8,79.5,36.1,Seminoff,juvenile
55,1997,70.4,74.3,33.7,Seminoff,juvenile
56,1997,68.2,73,33.1,Seminoff,juvenile
57,1997,73.7,79.4,36,Seminoff,juvenile
58,1997,72.1,76,34.5,Seminoff,juvenile
59,1997,93.8,99.9,45.3,Seminoff,adult
60,1998,83,88.5,75.3,Seminoff,adult
61,1998,86,90.2,85.3,Seminoff,adult
62,1998,79,83.6,63,Seminoff,adult
63,1998,90.8,98.4,104.3,Seminoff,adult
64,1998,77.4,83.8,59.4,Seminoff,adult
65,1998,88.5,93.6,94.8,Seminoff,adult
66,1998,77.5,81.9,70.3,Seminoff,juvenile
67,1998,65.2,68.7,40.8,Seminoff,juvenile
68,1998,86.7,90.5,89.4,Seminoff,adult
69,1998,77.8,82,59,Seminoff,juvenile
70,1998,69,74.5,45.4,Seminoff,juvenile
71,1998,69.8,73,51.7,Seminoff,juvenile
72,1998,74.9,81.6,54.4,Seminoff,juvenile
73,1998,72.3,77.2,61.7,Seminoff,juvenile
74,1998,87,94.4,99.3,Seminoff,adult
75,1998,80.1,86.3,68,Seminoff,adult
76,1998,84.3,90.2,85.7,Seminoff,adult
